Image_name,RegionNo.,Stat,Aperture(um),Area(um^2),Long_axis_length(um),Aperture/Long_axis_length(arbitrary),Centroid(X)(px),Centroid(Y)(px),Eccentricity(arbitrary),Solidity(arbitrary)
1,1,open,13.194798937455847,316.358024691358,111.53421072239875,0.3407117932134281,140.88948170731706,149.73170731707316,0.9401677903253707,0.8541666666666666
1,2,open,13.772994810646225,312.2588734567901,103.49558107247981,0.38326491472985846,112.23552123552123,93.62548262548262,0.9236384601872717,0.8670907264814195
1,3,open,12.661373561603867,234.25443672839506,78.15320773205138,0.46658041193189037,107.74781266083376,88.13535769428718,0.8844787839182281,0.9016241299303944
1,4,open,11.658855203484983,276.33101851851853,89.7148141928913,0.37426932539639945,97.90794066317626,89.73298429319372,0.9273200483475617,0.9593972373377982
1,5,open,12.443688727819785,305.62789351851853,106.76613909753655,0.3356665684368451,147.6879684418146,135.28757396449703,0.9419808675519014,0.8860538273331003
1,6,open,11.209831572843736,334.08082561728395,109.46817125240918,0.2949196516250329,114.06062793215446,92.14723926380368,0.9555220557817434,0.9753607884547695
1,7,open,12.073896216736639,303.5783179012346,96.44905429897567,0.36053045161450403,91.58538522637014,95.64972200158856,0.9327474435551361,0.9466165413533835
1,8,open,13.812331795477052,309.9681712962963,102.88987262246036,0.3866222647289995,93.71334111240762,100.8098016336056,0.9222381603554579,0.8592914438502673
2,1,open,7.693589912169132,151.06577932098767,73.26820493665531,0.30241683914876305,99.15323224261772,95.2170790103751,0.9531757736111799,0.9586840091813313
2,3,open,8.169149279377228,183.49729938271605,82.71783317360766,0.2844265743183551,116.1491458607096,126.93298291721419,0.9586978271705455,0.971282705807275
2,4,open,9.3835305443936,192.05729166666669,75.30109383380194,0.35888679157171155,88.93157564344006,81.93094789704959,0.9333810962492024,0.9755052051439069
2,5,open,7.341705166931832,148.65451388888889,74.47860516165615,0.283895097590379,105.4963503649635,79.11435523114355,0.9588553454844736,0.9785714285714285
2,6,open,7.478522627835281,174.09336419753086,86.07110074641588,0.2502366645875908,94.26731301939058,76.84556786703601,0.9681846991644092,0.9639519359145527
2,7,open,9.412736426165646,200.49672067901236,79.72307594921946,0.3400355616562543,94.37161755862898,93.55862898376428,0.9404125779726236,0.9719462302746932
2,8,open,8.661465288670273,185.42631172839506,78.83743340983135,0.31641085906101607,84.94018205461639,87.64239271781534,0.9486222474031851,0.9709595959595959
2,9,open,8.022021939996757,163.1221064814815,74.85170195871541,0.30865595013368424,90.2350332594235,77.53732446415373,0.9511737509241267,0.9712849964106246
2,10,open,9.891764326896679,223.16261574074076,83.70481242817044,0.3403422149223387,107.6094003241491,82.04484062668827,0.9403016413586422,0.9635606454971369
2,11,open,5.1447230861279305,114.53510802469137,81.97253349559638,0.18075325790491042,96.89263157894737,89.73263157894736,0.9835284742989198,0.9443339960238568
2,12,open,6.731858494385981,161.19309413580248,88.08525294406346,0.220102137597804,94.48840688107704,112.42258788332087,0.9754768316187101,0.9688405797101449
2,13,open,7.922476902802829,146.484375,68.07949657330734,0.3351483872314377,103.55720164609053,94.31028806584362,0.9421653562598056,0.965818759936407
