Image_name,open,partially_open,closed,false_positive
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160927_REDOX_Close_A6_02,3,7,3,1
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160928_REDOX_Close_ABA_06 2,0,8,1,0
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160928_REDOX_Close_ABA_06 2,0,8,1,0
20160928_REDOX_Close_ABA_07 2,0,2,7,1
20160928_REDOX_Close_D6_08 2,3,7,0,1
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160928_REDOX_Close_ABA_06 2,0,8,1,0
20160928_REDOX_Close_ABA_07 2,0,2,7,1
20160928_REDOX_Close_D6_08 2,3,7,0,1
20160929_REDOX_Close_E4_05 2,4,5,1,0
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160928_REDOX_Close_ABA_06 2,0,8,1,0
20160928_REDOX_Close_ABA_07 2,0,2,7,1
20160929_REDOX_Close_E4_05 2,4,5,1,0
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160928_REDOX_Close_ABA_06 2,0,8,1,0
20160928_REDOX_Close_ABA_07 2,0,2,7,1
20160929_REDOX_Close_E4_05 2,4,5,1,0
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160928_REDOX_Close_ABA_06 2,0,8,1,0
20160928_REDOX_Close_ABA_07 2,0,2,7,1
20160929_REDOX_Close_E4_05 2,4,5,1,0
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
1,8,0,0,0
2,13,0,0,0
20160927_REDOX_Close_A6_01,10,0,0,0
20160928_REDOX_Close_ABA_06 2,0,8,1,0
20160928_REDOX_Close_ABA_07 2,0,2,7,1
20160929_REDOX_Close_E4_05 2,4,5,1,0
3,0,10,0,2
4,0,0,9,0
5,11,1,0,0
6,12,0,0,0
7,8,3,0,0
